,Page,Clicks,Impressions,CTR,Position,Avg. Time on Page,Bounce Rate,Exit,Pageviews,Unique Pageviews
269,https://miratrix.co.uk/📈-will-favourite-app-marketing-channel-surprise-mtx65/,0,35,0%,19.29,0 days 00:00:00.000000000,100.0,100.0,1,1
272,https://miratrix.co.uk/happy-birthday-miratrix/,0,34,0%,24.79,0 days 00:00:00.000000000,100.0,100.0,4,4
274,https://miratrix.co.uk/basic-guide-surviving-app-store/,0,34,0%,33.68,0 days 00:02:46.500000000,0.0,25.0,3,2
280,https://miratrix.co.uk/category/miratrix/,0,33,0%,12.85,0 days 00:00:11.000000000,100.0,50.0,2,2
281,https://miratrix.co.uk/take-a-day-off/,0,33,0%,14.88,0 days 00:00:00.000000000,100.0,100.0,2,2
283,https://miratrix.co.uk/analytics-and-investments/,0,33,0%,36.39,0 days 00:00:00.000000000,100.0,100.0,1,1
287,https://miratrix.co.uk/google-play-rankings-boost-chinese-app-malware/,0,32,0%,75.0,0 days 00:00:00.000000000,100.0,100.0,2,2
293,https://miratrix.co.uk/in-app-analytics-setup/,0,31,0%,44.1,0 days 00:02:46.500000000,37.5,37.5,13,10
302,https://miratrix.co.uk/window-shopping/hay-day/,0,29,0%,14.24,0 days 00:00:00.000000000,50.0,100.0,2,2
319,https://miratrix.co.uk/part-2-use-apple-search-ads-analytics-🍏🔎📈-mtx57/,0,27,0%,36.63,0 days 00:00:00.000000000,100.0,100.0,1,1
328,https://miratrix.co.uk/aso-search-volumes-uk-app-store-👀-mtx63/,0,26,0%,101.19,0 days 00:00:00.000000000,100.0,100.0,1,1
329,https://miratrix.co.uk/category/the-weekly-noise/page/2/,0,25,0%,27.68,0 days 00:00:00.000000000,100.0,100.0,1,1
330,https://miratrix.co.uk/apple-searchads-watch-matching-mtx61/,0,25,0%,28.36,0 days 00:00:00.000000000,100.0,100.0,1,1
339,https://miratrix.co.uk/category/the-weekly-noise/page/3/,0,24,0%,30.62,0 days 00:00:00.000000000,100.0,100.0,1,1
